Timestamp (s),Center Frequency,Minimum Amplitude,Maximum Amplitude,Center Amplitude
0.0,602.0881224500863,82,953,517.5
0.03333333333333333,599.1824061654987,84,955,519.5
0.06666666666666667,681.6316173349294,83,950,516.5
0.1,722.0200935465227,84,955,519.5
0.13333333333333333,669.3397200895708,83,954,518.5
0.16666666666666666,658.8010036487618,83,954,518.5
0.2,670.4890949456192,83,954,518.5
0.23333333333333334,611.5507426157479,83,954,518.5
0.26666666666666666,756.4997411362353,84,955,519.5
0.3,682.1823170309982,83,954,518.5
0.3333333333333333,663.4472172279502,83,954,518.5
0.36666666666666664,707.4634859315819,83,954,518.5
